Elk_ID	Feedground	CollarType	GPSCollar	CaptureDate	Start_Interval	Stop_Interval	TrustRating	VIT_Status	PET	CowSero	VIT_Bruc	Recovered	RecoveryInterval
652	McNeel	GPS	Yes	2/17/2012	2/20/2012	NA	7	Died	NA	POS	NA	2/20/2012	NA
671	Horse	GPS	Yes	2/16/2012	3/2/2012	NA	7	Died	NA	NEG	NA	4/16/2012	NA
672	Horse	GPS	Yes	2/16/2012	NA	NA	7	Died	NA	NEG	NEG	4/15/2012	NA
674	McNeel	GPS	Yes	2/22/2012	NA	NA	7	Open	NA	NEG	NA	NA	NA
699	Forest	GPS	Yes	2/15/2013	NA	NA	7	Open	NA	NEG	NA	NA	NA
702	Black	GPS	Yes	2/17/2013	NA	NA	7	Unknown	NA	NEG	NA	6/25/2013	NA
703	Black	GPS	Yes	2/17/2013	NA	NA	7	Unknown	NA	NEG	NA	6/17/2013	NA
713	Jewett	GPS	Yes	2/19/2013	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
718	Jewett	GPS	Yes	2/19/2013	NA	NA	7	Unknown	NA	POS	NA	NA	NA
742	Patrol	GPS	Yes	2/25/2013	NA	NA	7	Open	NA	POS	NA	NA	NA
757	Camp	GPS	Yes	2/18/2014	NA	NA	7	Died	NA	NEG	NA	NA	NA
784	Dog	GPS	Yes	2/13/2014	6/9/2014	6/15/2014	2	Parturition	Good	POS	NA	NA	NA
790	Muddy	VHF	No	2/16/2014	NA	NA	7	Open	NA	POS	NA	NA	NA
792	Muddy	VHF	No	2/16/2014	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
794	Camp	GPS	Yes	2/18/2014	NA	NA	7	Open	NA	NEG	NA	NA	NA
799	Scab	GPS	Yes	2/22/2014	NA	NA	7	Open	NA	POS	NA	NA	NA
807	Scab	GPS	Yes	2/22/2014	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
824	Finnegan	GPS	Yes	3/5/2014	NA	NA	7	Unknown	Poor	NEG	NA	5/10/2014	NA
825	Forest	GPS	Yes	4/15/2014	NA	NA	7	Malfunction	NA	POS	NA	NA	NA
826	Forest	GPS	Yes	4/15/2014	NA	NA	7	Malfunction	NA	NEG	NA	NA	NA
226	HA99	GPS	Yes	1/27/2010	5/30/2010	5/31/2010	1	Parturition	Good	NEG	NA	7/29/2010	59
097	Dell	VHF	No	1/14/2009	5/26/2009	5/30/2009	2	Parturition	Bad	NEG	NEG	7/15/2009	46
051	Soda	None	No	1/19/2007	5/19/2007	5/20/2007	1	Parturition	Good	NEG	NA	6/27/2007	38
687	Patrol	GPS	Yes	3/13/2012	5/28/2012	6/4/2012	4	Parturition	Bad	POS	NA	7/10/2012	36
341	Scab	None	No	2/20/2007	5/27/2007	5/28/2007	1	Parturition	Good	NEG	NA	6/29/2007	32
585	Buffalo	VHF	No	1/17/2007	5/23/2007	5/29/2007	5	Parturition	Bad	NEG	NA	6/29/2007	31
584	Buffalo	VHF	No	1/17/2007	5/23/2007	5/29/2007	5	Parturition	Bad	NEG	NA	6/28/2007	30
586	Buffalo	GPS	Yes	1/16/2007	5/20/2007	5/29/2007	5	Parturition	Bad	POS	NEG	6/27/2007	29
463	HA99	Prox	No	1/29/2011	6/5/2011	6/8/2011	2	Parturition	Bad	NEG	NA	7/6/2011	28
245	Alkali	GPS	Yes	2/14/2012	6/8/2012	6/12/2012	2	Parturition	Bad	NEG	NA	7/9/2012	27
595	Buffalo	GPS	Yes	1/16/2007	5/23/2007	6/2/2007	5	Parturition	Bad	POS	NA	6/29/2007	27
596	Buffalo	VHF	No	1/17/2007	5/23/2007	6/2/2007	5	Parturition	Bad	NEG	NA	6/29/2007	27
160	Soda	None	No	2/28/2006	5/21/2006	5/22/2006	5	Parturition	Bad	NEG	NA	6/16/2006	25
250	Alkali	GPS	Yes	2/24/2010	5/7/2010	5/20/2010	2	Parturition	Bad	NEG	NA	6/13/2010	24
340	Scab	None	No	2/14/2007	6/3/2007	6/4/2007	1	Parturition	Good	NEG	NA	6/28/2007	24
043	Greys	Prox	No	2/16/2009	7/24/2009	8/2/2009	2	Parturition	Bad	POS	NEG	8/21/2009	19
395	McNeel	GPS	Yes	1/30/2011	5/3/2011	5/4/2011	1	Parturition	Bad	POS	NEG	5/23/2011	19
519	Horse	GPS	Yes	2/16/2011	5/24/2011	5/25/2011	1	Parturition	Bad	NEG	NA	6/13/2011	19
527	Franz	GPS	Yes	3/12/2011	3/13/2011	3/14/2011	2	Abortion	Bad	POS	NEG	4/2/2011	19
576	Buffalo	VHF	No	1/16/2007	6/2/2007	6/7/2007	5	Parturition	Bad	NEG	NA	6/25/2007	18
028	Greys	GPS	Yes	2/19/2008	5/11/2008	5/13/2008	2	Parturition	Bad	POS	NEG	5/30/2008	17
318	Scab	None	No	2/12/2006	5/31/2006	6/15/2006	2	Parturition	Bad	NEG	NA	7/2/2006	17
339	Scab	None	No	2/14/2007	6/3/2007	6/4/2007	1	Parturition	Good	NEG	NA	6/21/2007	17
553	Buffalo	GPS	Yes	3/1/2006	6/1/2006	6/6/2006	5	Parturition	Bad	NEG	NA	6/22/2006	16
555	Buffalo	GPS	Yes	3/1/2006	6/1/2006	6/6/2006	5	Parturition	Bad	NEG	NA	6/22/2006	16
138	Fall	GPS	Yes	1/28/2009	5/24/2009	5/26/2009	2	Parturition	Bad	NEG	NEG	6/10/2009	15
139	Fall	GPS	Yes	1/28/2009	5/26/2009	6/2/2009	2	Parturition	Bad	NEG	NEG	6/17/2009	15
365	Soda	None	No	1/27/2007	5/23/2007	5/26/2007	2	Parturition	Bad	NEG	NEG	6/10/2007	15
355	Soda	None	No	1/27/2007	6/8/2007	6/14/2007	2	Parturition	Bad	NEG	NA	6/28/2007	14
357	Soda	None	No	1/27/2007	5/29/2007	5/30/2007	1	Parturition	Good	NEG	NEG	6/13/2007	14
400	Greys	GPS	Yes	2/3/2011	6/5/2011	6/6/2011	1	Parturition	Good	POS	NEG	6/20/2011	14
572	Buffalo	GPS	Yes	3/1/2006	6/1/2006	6/6/2006	5	Parturition	Bad	POS	NA	6/20/2006	14
343	Scab	None	No	2/23/2007	5/30/2007	5/31/2007	1	Parturition	Good	NEG	NEG	6/13/2007	13
383	Dell	VHF	No	1/15/2011	6/4/2011	6/10/2011	2	Parturition	Bad	POS	NEG	6/23/2011	13
245	Alkali	GPS	Yes	2/24/2010	7/12/2010	7/17/2010	2	Parturition	Bad	NEG	NEG	7/29/2010	12
283	Bench	None	No	2/20/2006	5/27/2006	5/31/2006	2	Parturition	Bad	NEG	NA	6/12/2006	12
290	Bench	None	No	2/14/2006	5/10/2006	6/8/2006	2	Parturition	Bad	NEG	NA	6/20/2006	12
293	Bench	None	No	2/20/2006	5/26/2006	5/31/2006	5	Parturition	Bad	NEG	NA	6/12/2006	12
305	Bench	None	No	2/26/2006	5/26/2006	5/31/2006	5	Parturition	Bad	NEG	NA	6/12/2006	12
346	Scab	None	No	2/26/2007	5/23/2007	6/15/2007	2	Parturition	Bad	NEG	NA	6/27/2007	12
368	Soda	None	No	1/19/2007	6/15/2007	6/21/2007	2	Parturition	Bad	POS	NA	7/3/2007	12
545	Buffalo	VHF	No	3/1/2006	3/1/2006	5/23/2006	5	Parturition	Bad	NEG	NA	6/4/2006	12
662	Alkali	GPS	Yes	2/14/2012	3/15/2012	3/16/2012	2	Abortion	Bad	POS	NEG	3/28/2012	12
031	Soda	None	No	1/19/2007	6/25/2007	6/26/2007	1	Parturition	Good	NEG	NA	7/7/2007	11
143	Muddy	GPS	Yes	1/29/2009	5/16/2009	5/17/2009	1	Parturition	Good	NEG	NEG	5/28/2009	11
288	Bench	None	No	3/14/2006	6/18/2006	6/19/2006	5	Parturition	Bad	POS	NA	6/30/2006	11
302	Bench	None	No	3/14/2006	5/27/2006	5/28/2006	5	Parturition	Bad	NEG	NA	6/8/2006	11
307	Bench	None	No	2/26/2006	6/3/2006	6/4/2006	5	Parturition	Bad	NEG	NA	6/15/2006	11
404	Forest	GPS	Yes	2/5/2011	5/26/2011	5/27/2011	1	Parturition	Good	NEG	NA	6/7/2011	11
729	Muddy	GPS	Yes	2/21/2013	5/22/2013	6/1/2013	2	Parturition	Bad	NEG	NA	6/12/2013	11
091	Dell	VHF	No	1/21/2011	5/27/2011	6/13/2011	2	Parturition	Bad	POS	POS	6/23/2011	10
137	Fall	GPS	Yes	1/28/2009	5/27/2009	5/30/2009	2	Parturition	Bad	NEG	NEG	6/9/2009	10
349	Scab	None	No	3/1/2007	5/31/2007	6/3/2007	2	Parturition	Bad	NEG	NEG	6/13/2007	10
535	HA99	VHF	No	3/16/2011	5/27/2011	6/10/2011	2	Parturition	Bad	NEG	NA	6/20/2011	10
577	Buffalo	VHF	No	1/16/2007	1/16/2007	5/22/2007	5	Parturition	Bad	NEG	NA	6/1/2007	10
