ID,Feedground,Capture Date,Start Interval,Stop Interval,Event Type,Brucella,Data Quality
121,Greys,2/6/2009,5/11/2009,5/26/2009,Birth,NEG,2
128,Greys,1/21/2010,2/2/2010,,Died,POS,7
129,Greys,1/21/2010,5/9/2010,5/10/2010,Abortion,POS,1
133,Greys,2/25/2010,5/30/2010,6/9/2010,Birth,NEG,2
136,Fall,1/28/2009,5/26/2009,6/11/2009,Birth,NEG,2
137,Fall,1/28/2009,5/26/2009,6/9/2009,Birth,NEG,2
138,Fall,1/28/2009,5/26/2009,6/10/2009,Birth,NEG,2
139,Fall,1/28/2009,5/26/2009,6/17/2009,Birth,NEG,2
141,Muddy,1/29/2009,5/11/2009,5/26/2009,Birth,NEG,2
142,Muddy,1/29/2009,6/8/2009,6/9/2009,Birth,NEG,1
143,Muddy,1/29/2009,5/16/2009,5/17/2009,Birth,NEG,1
144,South,2/3/2009,5/11/2009,6/1/2009,Birth,POS,2
145,South,2/3/2009,6/3/2009,6/5/2009,Birth,NEG,2
145,South,2/17/2010,5/7/2010,5/30/2010,Birth,NEG,2
146,South,2/3/2009,6/1/2009,6/2/2009,Birth,NEG,1
147,South,2/3/2009,6/1/2009,6/2/2009,Birth,POS,1
148,UG,2/19/2009,5/26/2009,6/7/2009,Birth,NEG,2
149,UG,2/19/2009,5/26/2009,6/9/2009,Birth,NEG,2
150,UG,2/19/2009,5/26/2009,6/16/2009,Birth,NEG,2
151,UG,2/19/2009,5/29/2009,5/30/2009,Birth,POS,1
152,Franz,3/11/2009,6/9/2009,6/23/2009,Birth,NEG,2
153,Franz,3/11/2009,7/6/2009,7/9/2009,Abortion,POS,2
154,Franz,3/11/2009,5/11/2009,5/26/2009,Birth,NEG,2
155,Soda,2/21/2006,2/21/2006,5/26/2006,Birth,NEG,5
156,Soda,2/21/2006,2/21/2006,5/25/2006,Birth,NEG,5
157,Soda,2/21/2006,2/21/2006,5/26/2006,Birth,NEG,5
158,Soda,2/28/2006,2/28/2006,5/25/2006,Birth,NEG,5
159,Soda,2/28/2006,2/28/2006,5/29/2006,Birth,NEG,5
160,Soda,2/28/2006,2/28/2006,5/22/2006,Birth,NEG,5
161,Soda,2/28/2006,2/28/2006,5/30/2006,Birth,NEG,5
162,Bench,3/4/2007,5/31/2007,6/2/2007,Birth,NEG,2
163,Soda,3/9/2006,3/9/2006,5/26/2006,Birth,NEG,5
164,Soda,3/9/2006,3/9/2006,5/26/2006,Birth,POS,5
165,Soda,2/22/2007,,,Unknown,NEG,7
